term_code,class_nbr,instructor_id_number
1,5241,486
1,5242,3234
1,5243,486
1,5244,2199
1,5245,2199
1,5246,2199
1,5247,2199
1,5248,486
1,5249,3234
1,5250,486
1,5341,486
1,5342,3234
1,5343,486
1,5344,2199
1,5345,2199
1,5346,2199
1,5347,2199
1,5348,2199
1,5349,2199
1,5350,2199
1,5351,2199
1,5389,486
1,5390,2199
1,5391,2199
1,5392,3234
1,5393,2199
1,5394,2199
1,5395,486
1,5396,2199
1,5397,2199
1,5406,2199
1,5407,2199
1,6117,2777
1,6118,3201
1,6119,552
1,6120,122
1,6121,178
1,6122,124
1,6123,2771
1,6124,590
1,6125,2774
1,6126,2957
1,6127,120
1,6129,3201
1,6130,124
1,6131,2771
1,6132,122
1,6133,1216
1,6134,1453
1,6135,1653
1,6138,2773
1,6139,1134
1,6140,1862
1,6141,588
1,6142,3208
1,6143,589
1,6144,2519
1,6145,121
1,6146,1029
1,6147,1412
1,6148,3206
1,6150,592
1,6151,1886
1,6152,2316
1,6153,122
1,6154,1193
1,6155,3209
1,6156,597
1,6157,1861
1,6158,163
1,6159,1883
1,6160,596
1,6161,1032
1,6162,1456
1,6163,1654
1,6165,123
1,6167,3203
1,6168,3202
1,6169,332
1,6170,591
1,6171,1653
1,6172,178
1,6173,2774
1,6174,2315
1,6175,118
1,6176,163
1,6177,2317
1,6178,1030
1,6179,2776
1,6180,2775
1,6181,2950
1,6182,2316
1,6183,2315
1,6184,3204
1,6185,332
1,6186,3203
1,6187,333
1,6188,181
1,6189,1032
1,6190,1030
1,6191,3204
1,8402,498
1,8403,2302
1,8404,1793
1,8405,752
1,8406,1359
1,8407,496
1,8408,2218
1,8409,2023
1,8412,2498
1,8414,751
1,8828,938
1,8830,1355
1,8831,2022
1,8832,2674
1,8833,3118
1,8834,31
1,9322,123
1,9781,1354
1,9782,1794
1,9783,939
1,9784,1795
1,9785,940
1,9786,944
1,9787,1798
1,11991,498
1,12081,2426
1,12082,2426
1,13080,3202
1,13555,594
1,13556,2473
1,13836,1860
1,14184,118
1,14446,548
1,14467,2680
1,14468,2680
1,14553,548
1,14561,548
1,14562,548
1,14586,2680
1,14717,548
1,15254,548
1,15256,548
1,15257,548
1,15258,548
1,15259,548
1,15274,2680
1,15276,2680
2,5067,2696
2,5068,2696
2,5069,2199
2,5070,2199
2,5071,2696
2,5072,2696
2,5073,2696
2,5074,2696
2,5184,2199
2,5185,2199
2,5221,2199
2,5222,2199
2,5240,2199
2,5241,2199
2,6431,1860
2,6432,1861
2,6433,1862
2,6434,1860
2,6435,1862
2,6436,552
2,6437,1412
2,6438,932
2,6440,118
2,6441,1452
2,6443,2771
2,6444,3201
2,6446,1453
2,6447,2771
2,6448,3202
2,6449,588
2,6450,119
2,6451,2772
2,6452,120
2,6454,2209
2,6455,119
2,6456,2773
2,6457,2774
2,6458,120
2,6460,3203
2,6461,3204
2,6462,1883
2,6463,3205
2,6464,118
2,6465,1884
2,6468,1885
2,6471,1886
2,6472,3206
2,6473,589
2,6474,121
2,6475,2315
2,6476,590
2,6477,2775
2,6478,1454
2,6479,3172
2,6480,591
2,6481,122
2,6482,3207
2,6483,1028
2,6484,121
2,6485,3208
2,6486,591
2,6487,592
2,6488,593
2,6489,1028
2,6490,1029
2,6491,1030
2,6492,3209
2,6493,3205
2,6495,2776
2,6497,3209
2,6500,123
2,6501,594
2,6505,2316
2,8285,498
2,8286,2022
2,8287,2023
2,8288,751
2,8293,752
2,8294,1354
2,8295,2674
2,8296,938
2,8298,1355
2,8299,1793
2,8300,3118
2,8301,496
2,8302,1794
2,8303,939
2,9445,2473
2,9447,3249
2,11751,498
2,11754,2426
2,11755,1134
2,13804,548
2,13805,548
2,13821,548
2,13842,2680
2,13843,2680
2,13940,2302
2,14135,163
2,14475,548
2,14476,548
2,14538,2680
2,14541,2680
2,14613,548
2,14615,548
2,14617,548
2,14619,548
2,14697,2680
2,14698,2680
3,5060,486
3,5061,3234
3,5062,486
3,5063,2199
3,5064,2199
3,5065,2199
3,5066,2199
3,5067,486
3,5068,3234
3,5069,486
3,5160,486
3,5161,3234
3,5162,486
3,5163,2199
3,5164,2199
3,5165,2199
3,5166,2199
3,5167,2199
3,5168,2199
3,5169,2199
3,5170,2199
3,6068,395
3,6069,1861
3,6070,2774
3,6071,1266
3,6072,3206
3,6074,3439
3,6075,1860
3,6076,121
3,6077,1412
3,6078,589
3,6079,552
3,6080,3034
3,6081,3035
3,6082,1720
3,6084,2130
3,6085,2473
3,6086,1886
3,6087,2776
3,6088,1216
3,6089,118
3,6090,2771
3,6091,119
3,6092,1216
3,6093,180
3,6094,3202
3,6095,179
3,6096,119
3,6097,180
3,6098,179
3,6100,3202
3,6101,118
3,6102,121
3,6103,1862
3,6104,1134
3,6105,592
3,6106,1684
3,6107,1685
3,6109,1686
3,6110,2107
3,6111,593
3,6112,2108
3,6113,1862
3,6114,592
3,6115,2473
3,6116,1886
3,6117,1412
3,6118,2669
3,6119,2986
3,6121,2667
3,6124,2209
3,6125,3211
3,6126,3206
3,6129,2775
3,6130,2776
3,6132,3209
3,6135,594
3,6251,337
3,6262,2773
3,6265,3209
3,6267,2773
3,6268,1860
3,6504,2680
3,6505,3415
3,6506,1354
3,6507,2995
3,6508,828
3,6509,1245
3,6510,2562
3,6511,1246
3,6512,3416
3,6513,3118
3,6514,2563
3,6515,1700
3,6516,2111
3,6517,1355
3,6518,2112
3,6519,752
3,6612,2567
3,6613,2674
3,6616,1359
3,9887,3033
3,9888,2498
3,9889,2588
3,9890,396
3,12136,1884
3,12137,1029
3,12144,2680
3,14508,548
3,14546,2680
3,14635,548
3,14636,548
3,14637,548
3,14670,2680
3,14893,548
3,14948,2680
3,15097,548
3,15293,548
3,15633,548
3,15656,548
3,15657,548
4,4974,486
4,4975,486
4,4976,2199
4,4977,2199
4,4978,486
4,4979,486
4,4980,486
4,4981,486
4,5091,2199
4,5092,2199
4,5125,2199
4,5126,2199
4,5143,2199
4,5144,2199
4,5899,121
4,5900,395
4,5901,3439
4,5902,118
4,5903,339
4,5906,2774
4,5907,2107
4,5908,3035
4,5909,2108
4,5910,118
4,5911,339
4,5913,2666
4,5915,592
4,5916,2107
4,5917,552
4,5918,3202
4,5922,3202
4,5923,2771
4,5925,3035
4,5929,589
4,5930,1686
4,5931,2950
4,5932,2772
4,5933,2108
4,5934,3034
4,5935,596
4,5936,3208
4,5937,2319
4,5938,2130
4,5939,2473
4,5940,1720
4,5941,3205
4,5943,2667
4,5944,2130
4,5945,3034
4,5946,3208
4,5947,594
4,5948,1685
4,5949,3203
4,5950,3209
4,5951,3206
4,5952,1860
4,5953,1886
4,5954,532
4,6057,2950
4,6267,2680
4,6268,3415
4,6269,2498
4,6271,1355
4,6272,2995
4,6273,2218
4,6274,2588
4,6276,1700
4,10902,2562
4,10914,3416
4,10915,2112
4,10918,939
4,11038,2986
4,11039,180
4,11040,1412
4,11041,2771
4,11043,3205
4,11045,2773
4,11046,1684
4,11047,1216
4,11049,1266
4,11051,2950
4,11052,1452
4,11053,3202
4,12356,2680
4,12878,1884
4,12879,1033
4,13387,548
4,13388,548
4,13530,2680
4,13531,2680
4,14728,1216
4,14776,2680
4,14779,2680
4,14959,3205
4,15171,2680
4,15265,548
4,15266,548
4,15267,548
4,15268,548
4,15282,2680
4,15283,2680
4,15284,2680
4,15415,2680
5,6615,486
5,6616,3234
5,6617,486
5,6618,2199
5,6619,2199
5,6620,2199
5,6621,2199
5,6622,486
5,6623,3234
5,6624,486
5,6715,486
5,6716,3234
5,6717,486
5,6718,2199
5,6719,2199
5,6720,2199
5,6721,2199
5,6722,2199
5,6723,2199
5,6724,2199
5,6725,2199
5,7511,2774
5,7512,3075
5,7513,453
5,7514,2130
5,7515,2108
5,7516,1453
5,7517,2165
5,7518,3079
5,7519,3199
5,7520,3034
5,7521,593
5,7522,2130
5,7523,395
5,7524,112
5,7525,1720
5,7526,1685
5,7528,455
5,7529,456
5,7530,1216
5,7531,2986
5,7532,2317
5,7533,3246
5,7536,1686
5,7537,3199
5,7538,2950
5,7539,2774
5,7540,2667
5,7541,596
5,7542,181
5,7543,1266
5,7544,2772
5,7545,3481
5,7546,1686
5,7547,3202
5,7548,1311
5,7549,2667
5,7552,1684
5,7553,121
5,7554,1266
5,7558,3203
5,7559,459
5,7560,337
5,7566,3209
5,7667,2957
5,7873,2680
5,7875,3497
5,7876,469
5,7877,1763
5,7878,442
5,7879,883
5,7880,2627
5,7881,939
5,7882,2157
5,7883,884
5,7884,443
5,7886,2628
5,7887,885
5,7888,3065
5,7974,886
5,7975,444
5,7985,1298
5,7987,445
5,10532,3488
5,10534,2986
5,10535,3489
5,10536,3202
5,10537,2317
5,10538,552
5,10539,1720
5,10540,2107
5,10541,2950
5,10542,2107
5,10544,25
5,10545,3209
5,12560,119
5,12600,2680
5,14195,548
5,14196,548
5,14197,548
5,14226,2680
5,14227,2680
5,14785,906
5,14786,3086
5,14909,2680
5,15076,548
5,15077,548
5,15078,548
5,15079,548
5,15142,2680
5,15143,2680
5,15323,2680
5,15353,548
5,15466,2680
6,4645,2696
6,4646,2696
6,4647,2199
6,4648,2199
6,4649,2696
6,4651,2696
6,4652,2696
6,4761,2199
6,4762,2199
6,4795,2199
6,4796,2199
6,4812,2199
6,4813,2199
6,5496,3079
6,5497,455
6,5498,1311
6,5499,456
6,5500,1453
6,5501,3481
6,5502,1860
6,5503,2317
6,5504,596
6,5505,2130
6,5507,932
6,5508,1266
6,5509,1453
6,5510,3199
6,5511,2107
6,5512,112
6,5513,3489
6,5514,25
6,5515,453
6,5516,25
6,5517,1720
6,5518,2772
6,5519,2317
6,5520,906
6,5521,337
6,5522,3488
6,5523,3439
6,5526,2950
6,5527,1075
6,5528,455
6,5529,3035
6,5530,1452
6,5531,3086
6,5532,3205
6,5533,2165
6,5534,2986
6,5535,2950
6,5536,1686
6,5537,1862
6,5538,2666
6,5539,906
6,5599,1862
6,5609,395
6,5610,1311
6,5611,2957
6,5612,3079
6,5613,3489
6,5614,459
6,5615,1684
6,5616,1684
6,5617,3481
6,5618,456
6,5620,2165
6,5664,3086
6,5805,2680
6,5806,886
6,5807,884
6,5808,3123
6,5809,3497
6,5810,469
6,5943,1763
6,5944,443
6,5945,2628
6,9460,2696
6,9611,2112
6,9612,2218
6,11093,3209
6,11685,2680
6,11958,119
6,11959,2776
6,14107,3075
6,14391,119
6,14553,1886
6,14983,2680
